機關名稱,標案案號,標案名稱,決標方式,採購金額,預算金額,標的分類,招標方式,採購金額級距,決標日期
臺北市政府,1070207C0008,臺北市立景美女中綜合大樓暨附設地下停車場新建工程,最有利標,942026351,937548557,工程類,公開招標,巨額,2019/2/14
臺北市立聯合醫院,107FD05,固定式髓內釘類骨材乙批,最低標,31356000,8946440,財物類,公開招標,公告金額以上未達查核金額,2019/1/15
臺北自來水事業處,10810016B08,108西區B管網改善工程,最低標,49303697,49303697,工程類,公開招標,公告金額以上未達查核金額,2019/1/30
臺北自來水事業處,10810011C11,南區A管網改善工程,最低標,48526985,48526985,工程類,公開招標,公告金額以上未達查核金額,2019/1/29
臺北自來水事業處,10810012C12,南區B管網改善工程,最低標,48558126,48558126,工程類,公開招標,公告金額以上未達查核金額,2019/1/29
臺北自來水事業處,10810023D12,108北區B管網改善工程,最低標,45000000,45000000,工程類,公開招標,公告金額以上未達查核金額,2019/1/8
臺北大眾捷運股份有限公司,B07A06206,捷運北投旅客服務中心外地坪更新工作,最低標,1993000,1993000,勞務類,公開招標,公告金額以上未達查核金額,2019/1/4
臺北市立龍山國民中學,1071218-1,臺北市107學年度中小路跑錦標賽-矽膠水杯」財物採購案,最低標,290000,290000,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/4
臺北市政府衛生局,C108008,108年度家庭藥師計畫,最有利標,1300000,1300000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/3/12
臺北市公共運輸處,1080102,108年度鼓勵大眾運輸行銷宣傳計畫,最有利標,4000000,4000000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/27
臺北市政府產業發展局,1082025,「108年臺北市循環經濟與太陽光電發展推動計畫」委託專業服務案,最有利標,4500000,4500000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/25
臺北市立聯合醫院,R108013,108年度和平院區醫療大樓高氯離子檢測安全鑑定案,最低標,665774,665774,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/9
臺北市大安區新生國民小學,108A003,廚房設施與設備改善工程委託技術服務勞務採購,最有利標,191193,191193,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/9
臺北市立第一女子高級中學,10736,108年度校園安全機械保全及駐衛警留駐服務採購,最有利標,897240,897240,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/9
臺北市政府文化局,108A090,寶藏巖聚落建築群保存及再發展計畫,最有利標,3000000,3000000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/3/4
臺北市士林區社子國民小學,108-2-01,108年度民生樓門窗及活動中心廁所工程委託設計監造服務,最有利標,709638,709638,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/8
臺北市政府工務局公園路燈工程管理處,108S017,108年度中正橋等橋樑及河濱公園景觀照明委託管理維護,最低標,12521224,5600000,勞務類,公開招標,查核金額以上未達巨額,2019/1/22
臺北大眾捷運股份有限公司,C08E00302,空氣呼吸器(6.8公升)等5項採購,最低標,1932950,1932950,財物類,公開招標,公告金額以上未達查核金額,2019/1/14
臺北市立南湖高級中學,Nhush10801,107學年度高二學生教育旅行,最有利標,3972000,3972000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/18
臺北廣播電臺,108204,108年委製節目(公告金額十分之一以下),最有利標,96000,757200,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/25
臺北大眾捷運股份有限公司,B08B01013,捷運車站及機廠污水設備銜接衛生下水道系統第七期工程委託規劃設計及監造技術服務工作,最低標,1867440,1867440,勞務類,公開招標,公告金額以上未達查核金額,2019/1/10
臺北市立南門國民中學,108302,自造教育及科技中心建置工程,最低標,2583133,2583133,工程類,公開招標,公告金額以上未達查核金額,2019/1/10
臺北市市場處,108W27,「108年度興隆、西寧、直興市場整修工程」委託設計監造,最有利標,746525,746525,勞務類,公開取得報價單或企劃書,未達公告金額,2019/2/14
臺北市政府警察局,10853,本局108年度商品提貨券採購案,最低標,2140100,2140100,財物類,公開招標,公告金額以上未達查核金額,2019/1/10
臺北市交通管制工程處,te107014-1,107年度「松德大樓機電設備保養維護」勞務採購案(108年度後續擴充),最低標,132794,132794,勞務類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/2
臺北市立大理高級中學,108101,107學年度國七國八校外教學活動,最有利標,236200,236200,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/9
臺北市政府工務局公園路燈工程管理處,108B006,108年度園藝管理所所轄公園整建工程-水電設施維護預約工程,最低標,4110000,1120000,工程類,公開招標,公告金額以上未達查核金額,2019/1/18
臺北市政府工務局公園路燈工程管理處,108C013,108年度路燈工程委託規劃設計暨監造技術服務C標,最有利標,8100000,2400000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/19
臺北市北投區石牌國民小學,SP10801,107學年度第二學期美勞教材採購案,最有利標,633854,633854,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/9
臺北市立萬芳高級中學,10734,107年度行政大樓屋頂不?鋼護欄採購,最有利標,213174,213174,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/17
臺北市內湖區西湖國民小學,108C03,107學年度第2學期作業簿本 學用品暨美勞材料採購,最有利標,167059,167059,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/14
臺北市政府環境保護局北投垃圾焚化廠,PT108105,108 年度廢氣連續自動監測儀器檢驗校正,最低標,2856465,1700000,勞務類,公開招標,公告金額以上未達查核金額,2019/1/14
臺北市政府都市發展局,1080104PHA,108年度公共住宅招租事務勞務委託服務案,最有利標,3036115,2428892,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/27
臺北市立北政國民中學,10804,108年度校園園藝人力勞務外包採購案,最有利標,864000,432000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/15
臺北市立中崙高級中學,108-01-0107,107學年度赴日海外教育旅行活動,最有利標,1392000,1392000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/23
臺北大眾捷運股份有限公司,C08E00449,網路設備採購,最低標,28565000,28565000,財物類,公開招標,公告金額以上未達查核金額,2019/1/17
臺北大眾捷運股份有限公司,B06A02149-1,捷運橋梁、建物控制點量測及邊坡檢測評估工作(結算增加),最低標,120232,120232,勞務類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/3
臺北市交通管制工程處,te1070173-1,107年度臺北市號誌纜線清整工程(3)-108年度契約擴充,最低標,16000000,16000000,工程類,限制性招標(未經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/3
臺北市大同區永樂國民小學,A10801,行政辦公室設施設備優質化工程,最低標,1018356,1018356,工程類,公開招標,公告金額以上未達查核金額,2019/1/19
臺北市立動物園,10820101,108年臺北巿立動物園販賣站考核委外案,最有利標,2286900,762300,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/19
臺北市松山區健康國民小學,JKES1070002-1,108年度工友值勤外包勞務採購案,最低標,432000,432000,勞務類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/2
臺北市立雙園國民中學,C10801-1,非營利幼兒園裝修工程委託監造服務案,最低標,390366,390366,勞務類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/8
臺北市北投區關渡國民小學,10802,108年度旭日樓及渡水樓電源改善工程(第二期)委託規劃設計及監造技術服務,最有利標,298098,298098,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/22
臺北市立美術館,108EX0003,「于彭回顧展」平面設計委任案,最有利標,365000,365000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/24
臺北市都市計畫委員會,10801,「108年度建構無紙化審議環境平板採購計畫」採購案,最低標,901600,901600,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/17
臺北市政府資訊局,10815,臺北市政府2019年智慧城市展規劃及執行委託服務案,最有利標,3600000,2600000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/13
臺北市內湖區麗山國民小學,LS10801,107學年度第二學期美勞材料採購案,最有利標,863130,431565,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/16
臺北市立信義國民中學,XY10802,108年教室冷氣汰換財物採購案,最低標,2513690,2513690,財物類,公開招標,公告金額以上未達查核金額,2019/1/22
臺北市立華江高級中學,108001,108年學生融入校園綠美化、戶外球場整修及專科教室環境改善工程等委託技術服務案,最有利標,601576,601576,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/22
臺北市大安區公所,Daan10805,臺北市大安區公所108年事務工友(機電)委外案,最有利標,736358,627268,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/24
臺北市中正區南門國民小學,108105,生態美學外埠體驗學習參訪活動及實地探訪勞務採購,最有利標,163760,163760,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/15
臺北市立建國高級中學,108303,2019高一數理資優班日本關西之旅勞務採購案,最有利標,1683000,1683000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/25
臺北市內湖區西湖國民小學,108B02,108年度校外教學遊覽車租賃服務,最有利標,278200,139100,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/19
臺北市立萬芳高級中學,1080408,107學年度第2學期高中教科書財物採購,最低標,264312,264312,財物類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/9
臺北市立大學附設實驗國民小學,TD108002,總變電站電源改善工程委託設計監造技術服務勞務採購,最有利標,421396,421396,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/16
臺北市建築管理工程處,10809,108年員工入口網系統改版案,最有利標,910000,910000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/2/14
臺北市政府,1071206S0203a108,108年度第一、二殯儀館清潔維護勞務採購,最低標,11306020,9100000,勞務類,公開招標,查核金額以上未達巨額,2019/1/16
臺北市立天文科學教育館,108A01,立體劇場3D數位影片租賃採購案,最有利標,3560000,3560000,財物類,公開招標,公告金額以上未達查核金額,2019/2/22
臺北市立北安國民中學,108202,108年度廁所/專科教室/女兒牆扶手增高整修工程委託規劃設計及監造技術服務勞務採購,最有利標,437517,437517,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/23
臺北市南港區玉成國民小學,108A04,四維樓及中央廚房電源改善工程委託設計監造技術服務勞務採購案,最有利標,301600,301600,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/18
臺北市中山區懷生國民小學,C10801,108年度空調設備汰換額外項財物採購案,最低標,197110,197110,財物類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/10
臺北市政府警察局,10855,108年度簡易毒品檢驗試劑(化學呈色法)採購案,最低標,420000,420000,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/16
臺北市大同區大同國民小學,1080104,108年度校際交流學習活動勞務採購案,最有利標,200000,200000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/19
臺北市立中崙高級中學,108-01-0119,108年度自律樓廁所整修工程委託技術服務勞務採購,最有利標,509956,509956,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/24
臺北市大同區蓬萊國民小學,B10804,108年度設備預算攝影機財物採購案,最有利標,101000,101000,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/16
臺北市政府工務局公園路燈工程管理處,108B007,108年度東北區路燈新設預約工程,最低標,19950048,19950048,工程類,公開招標,公告金額以上未達查核金額,2019/1/25
臺北市政府衛生局,W107007-1,107-108年度衛生資訊系統維護,最低標,4800000,927816,勞務類,限制性招標(未經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/2
臺北市立南港高級工業職業學校,108C06,臺北市108年度職群宣導視覺行銷影片製作,最有利標,990000,990000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/24
臺北市北投區湖山國民小學,10807,校園水管汰舊工程委託規劃設計及監造技術服務採購案,最有利標,160000,160000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/16
臺北大眾捷運股份有限公司,B07A00115-1,中和新蘆線、松山新店線車站及轉乘停車場保全警衛工作(第1次契約變更),最低標,7095126,7095126,勞務類,限制性招標(未經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/9
臺北市立明德國民中學,108C004,多功能教室整修工程委託技術服務採購案,最有利標,107546,107546,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/22
臺北市政府文化局,107B004-01,臺灣新文化運動紀念館戶外空間及景觀工程第一次契約變更,最低標,365374,365374,工程類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/3
臺北市政府工務局水利工程處,10807002040102301,抽水站監視系統更新工程,最低標,1816334,1816334,工程類,公開招標,公告金額以上未達查核金額,2019/1/24
臺北市立重慶國民中學,10802,108年度七、八年級校外教學參觀旅行活動勞務採購,最有利標,620700,620700,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/24
臺北市立大直高級中學,108102,107學年度第2學期高中教科書財物採購,最低標,276475,276475,財物類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/10
臺北市立大直高級中學,108103,107學年度第2學期高中教科書財物採購,最低標,367638,367638,財物類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/10
臺北市立內湖高級中學,10802,108年度圖書採購,最低標,122593,122593,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/22
臺北市殯葬管理處,1080507,第一殯儀館遺體冷藏庫及相關設施汰換工程委託技術服務,最有利標,949584,949584,勞務類,公開取得報價單或企劃書,未達公告金額,2019/2/22
臺北大眾捷運股份有限公司,B07A00114-1,淡水信義線車站、地下街及轉乘停車場保全警衛工作(第1次契約變更),最低標,7956529,7956529,勞務類,限制性招標(未經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/14
臺北大眾捷運股份有限公司,B07A00113-1,板南線及松山新店線車站、地下街及轉乘停車場保全警衛工作(第1次契約變更),最低標,8931922,8931922,勞務類,限制性招標(未經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/14
臺北市政府都市發展局,1080107MH,108年度臺北市健康公共住宅暨洲美、新興、大湖朕寶公共住宅戶委託管理維護案,最有利標,85622593,25775360,勞務類,限制性招標(經公開評選或公開徵求),巨額,2019/3/21
臺北市政府都市發展局,10834003,108年臺北市都市計畫規劃管理系統委外應用軟體維護及資料更新案,最有利標,600000,600000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/2/1
臺北市政府體育局,tms108034,108年度臺北市政府體育局(南區)紅土場地紅磚粉及草皮川砂經常性維護採購案,最低標,3954789,3954789,勞務類,公開招標,公告金額以上未達查核金額,2019/1/24
臺北市政府原住民族事務委員會,108C0101,108年度「原民假日市集營運管理及攤商輔導」勞務採購案,最有利標,1850000,1850000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/27
臺北市政府,1080110S0032,2019臺北市會展MICE提升計畫暨辦理推廣活動規劃與委託服務勞務採購案,最有利標,13000000,10000000,勞務類,限制性招標(經公開評選或公開徵求),查核金額以上未達巨額,2019/3/21
臺北市政府財政局,CA1071201,新北市中和區景安路155號等115戶、118號等5戶及120號等88戶住宅單元及208個停車位公開標租年租金底價委託估價,最低標,158000,158000,勞務類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/11
臺北市立聯合醫院,F108005,【論文集、專題特刊及研討會手冊等美編印刷】1批,最低標,408000,204000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/31
臺北大眾捷運股份有限公司,C07A08342,CNIM齒輪箱蝸桿蝸輪組等4項採購,最低標,8300000,8300000,財物類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/24
臺北市萬華區東園國民小學,10802,108年勤學樓北側健康樓廁所環境改善暨幼兒園側門通行廊道工程委託設計及監造服務案,最有利標,512838,512838,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/30
臺北市政府消防局,651910815,108年度水上救生機能型義消裝備器材採購案,最低標,1225000,1225000,財物類,公開招標,公告金額以上未達查核金額,2019/1/25
臺北市立聯合醫院,107FI05,神外顱內血管重建裝置類招標,最低標,49304880,53565250,財物類,公開招標,公告金額以上未達查核金額,2019/1/30
臺北市中山區大佳國民小學,108004,108年度社區共讀站委託設計監造技術服務勞務採購案,最有利標,149073,149073,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/23
臺北市立松山高級工農職業學校,108B002P,108年度致知樓屋頂防漏整修工程委託設計監造技術服務採購案,最有利標,256148,256148,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/30
臺北大眾捷運股份有限公司,B08A00233,臺北小巨蛋管理系統維護工作,最低標,378840,315700,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/23
臺北市立景美女子高級中學,10806,108年赴日本國際教育交流參訪勞務採購案,最有利標,2924000,2924000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/30
臺北市政府工務局水利工程處,H108018,108年度全市抽水站水位計及警報通訊系統設備維護案,最有利標,18179363,6579363,勞務類,限制性招標(經公開評選或公開徵求),查核金額以上未達巨額,2019/4/2
臺北市北投區關渡國民小學,10801,108年度校園樑柱裂縫整修暨辦公室設施設備優化工程委託規劃設計及監造技術服務,最有利標,208962,208962,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/25
臺北市市場處,108W16,108年度各市場零星修繕水電部分開口契約,最低標,5000000,2500000,勞務類,公開招標,公告金額以上未達查核金額,2019/2/25
臺北市立大安高級工業職業學校,Y081080103,107學年度第2學期教科書(台科大),最低標,820286,820286,財物類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/15
臺北市立大安高級工業職業學校,Y081080105,107學年度第2學期教科書(全華版),最低標,475091,475091,財物類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/15
臺北市政府工務局大地工程處,GEO1082037,108年度臺北市登山步道維護更新預約式工程委託設計監造技術服務案,最有利標,6463440,2872640,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/3/27
臺北市交通管制工程處,te108030,108年度交通號誌及管道工程(北),最低標,19610000,16610000,工程類,公開招標,公告金額以上未達查核金額,2019/1/30
臺北市立景美女子高級中學,10809,107學年度高二教育旅行勞務採購案,最有利標,3994500,3994500,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/30
臺北市政府消防局,652810816,臺北市108年全民防衛動員(民安5號)暨災害演習人員便當採購案,最低標,900000,750000,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/24
臺北市政府,1080107SC001,延平警察宿舍公辦都更新建工程委託設計暨監造技術服務接續案,最有利標,23667533,23667533,勞務類,限制性招標(經公開評選或公開徵求),巨額,2019/3/27
臺北市政府消防局,652010812,108年度車禍救助破壞器材組及車輛救助支撐器採購案,最有利標,4760000,2380000,財物類,公開招標,公告金額以上未達查核金額,2019/3/27
臺北市立中崙高級中學,108-01-0111,107學年度赴韓海外教育旅行活動,最有利標,923200,923200,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/28
臺北市立成淵高級中學,C10802,107學年度第二學期高中部教科書(龍騰版)採購,最低標,223000,223000,財物類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/18
臺北市立成淵高級中學,C10802-2,107學年度第二學期高中部教科書(泰宇版)採購,最低標,122320,122320,財物類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/18
臺北市內湖區西湖國民小學,108B01,108年度活動中心整修工程委託規劃設計監造勞務採購,最有利標,241062,241062,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/28
臺北市立大同高級中學,10801-1,108年度協助教務處行政人力勞務外包採購案,最有利標,429000,429000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/30
臺北市交通管制工程處,te108031,108年度號誌路燈共桿工程(北),最低標,15300000,10300000,工程類,公開招標,公告金額以上未達查核金額,2019/2/1
臺北市立大安高級工業職業學校,Y081080109,107學年度第2學期教科書(泰宇版),最低標,405148,405148,財物類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/15
臺北市立景美女子高級中學,10808,108年度工友業務委外採購案,最有利標,828000,396000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/24
臺北市政府環境保護局木柵垃圾焚化廠,L10809,108年度焚化爐歲修及爐床、鍋爐等設備維修勞務服務案,最低標,48060180,48060180,勞務類,限制性招標(未經公開評選或公開徵求),巨額,2019/1/11
臺北市立木柵國民中學,MUZHA108101,107學年度有效教案設計徵件比賽作品成果輯採購案,最有利標,277500,277500,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/31
臺北大眾捷運股份有限公司,B06A00141-1,臺北小巨蛋清潔維護工作(第1次契約變更),最低標,996199,996199,勞務類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/21
臺北市政府,1080115S0035,108年推動工商業節約能源及節能績優評獎計畫委託專業服務案,最有利標,5450000,5450000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/3/6
臺北市政府體育局,tms108042,「2019職業國標舞世界大賽亞巡賽臺北站」賽事暨活動企劃執行勞務採購案,最低標,2350000,2350000,勞務類,限制性招標(未經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/17
臺北市文山區景美國民小學,C10812,108年度資訊設備財物採購,最低標,241000,241000,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/30
臺北市政府捷運工程局第一區工程處,DT152D-01,捷運北投站、忠孝新生站及古亭站出入口增設與改善工程細部設計及監造委託技術服務設計標第1次契約變更,最低標,1972086,1972086,勞務類,限制性招標(未經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/3
臺北市藝文推廣處,B108105,108年大稻埕戲苑『青春舞台』廣場活動演出硬體設備租用、執行採購案,最有利標,576118,576118,財物類,公開取得報價單或企劃書,未達公告金額,2019/2/15
臺北市立陽明教養院,1080105,108年度服務使用者冬夏季制服、教保人員冬夏季工作服採購案,最有利標,999600,999600,財物類,公開取得報價單或企劃書,未達公告金額,2019/3/13
臺北市政府,1080101P0008,108年度水上救援個人裝備採購案,最有利標,9020000,5720000,財物類,公開招標,公告金額以上未達查核金額,2019/3/5
臺北市政府文化局,108A118,水源劇場108年度劇場設備維護保養服務案,最有利標,984000,900000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/2/22
臺北市立松山高級中學,1070203,107學年度第2學期教科書採購-三民版,最低標,175030,175030,財物類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/22
臺北市立松山高級中學,1070208,107學年度第2學期教科書採購-幼獅版,最低標,135000,135000,財物類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/22
臺北市政府警察局,10862,108年度刑案勘察用燈具及配件採購案,最低標,240000,240000,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/29
臺北大眾捷運股份有限公司,B07A06001,地震儀感測器移置工作,最低標,354375,354375,勞務類,公開取得報價單或企劃書,未達公告金額,2019/2/12
臺北市松山區民族國民小學,10801,美術大樓及廁所整修工程委託設計監造技術服務採購案,最有利標,384241,384241,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/31
臺北自來水事業處,10805003608,直潭場及雙溪場過濾及緊急發電機等設備採購,最有利標,58666427,58666427,財物類,公開招標,查核金額以上未達巨額,2019/3/20
臺北市政府工務局,108007,臺北市政府工務局暨所屬工程處環境生態與永續發展體驗觀摩活動勞務採購案,最有利標,275240,275240,勞務類,公開取得報價單或企劃書,未達公告金額,2019/2/12
臺北市政府警察局刑事警察大隊,CID10820,頻寬聚合傳輸設備,最低標,1200000,1200000,財物類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/21
臺北市立聯合醫院,S108015,全數位高解析超音波掃描儀,最低標,4230000,4230000,財物類,公開招標,公告金額以上未達查核金額,2019/1/30
臺北市立懷生國民中學,1080103,107學年度7、8年級校外教學,最有利標,252750,252750,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/29
臺北市立萬華國民中學,1080213,108學年度9年級戶外教育活動採購案,最有利標,1685000,1685000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/15
臺北市政府勞動局,Y108010,108年度違反勞動基準法裁罰案件委託律師行政訴訟案,最有利標,399999,399999,勞務類,公開取得報價單或企劃書,未達公告金額,2019/2/27
臺北市政府消防局,652110820,108年度電腦耗材採購案,最低標,2383456,2383456,財物類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/13
臺北市政府地政局土地開發總隊,10802,108年度機房設備採購案,最低標,983000,983000,財物類,公開取得報價單或企劃書,未達公告金額,2019/2/19
臺北市立大同高級中學,10809,107年教育部補助高級中等學校充實一般科目教學設備財物採購,最低標,463000,463000,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/31
臺北市政府工務局公園路燈工程管理處,107A082-Z02,中正24號(交八)廣場景觀綠美化工程-土建工程-第2次變更設計,最低標,5613166,5613166,工程類,限制性招標(未經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/15
臺北市政府工務局公園路燈工程管理處,108B012,108年度代辦路燈預約工程(A~B項),最低標,14000000,10000000,工程類,公開招標,公告金額以上未達查核金額,2019/2/12
臺北自來水事業處,10827003I08,水質科資訊安全管理系統（ISMS）維護案,最低標,304500,304500,勞務類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/25
臺北市政府工務局公園路燈工程管理處,108B011,108年度大業路、瑞光公園等處路燈地下線路整修工程,最低標,16993889,16993889,工程類,公開招標,公告金額以上未達查核金額,2019/2/13
臺北市立內湖高級中學,10803,108年度日本國際教育旅行,最有利標,1530000,1530000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/12
臺北市立景美女子高級中學,10805-01,107學年度第2學期教科書採購案-三民版,最低標,1247108,1247108,財物類,限制性招標(未經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/16
臺北市立景美女子高級中學,10805-02,107學年度第2學期教科書採購案-幼獅版,最低標,129060,129060,財物類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/16
臺北市立景美女子高級中學,10805-08,107學年度第2學期教科書採購案-龍騰版,最低標,390450,390450,財物類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/16
臺北市政府環境保護局木柵垃圾焚化廠,L10712-3,107年廠區及周界環境品質監測作業案,最低標,623404,623404,勞務類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/17
臺北市內湖區明湖國民小學,10803,108年度制服暨運動服財物採購案,最低標,535700,535700,財物類,公開招標,未達公告金額,2019/2/1
臺北市政府體育局,tms108058,「2019臺北國際龍舟錦標賽外國隊伍聯繫、接待及住宿採購案」,最有利標,4870000,3760000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/3/7
臺北市內湖區公所,1083002-1,內湖區碧山區民活動心中冷氣汰換共契採購增購項目,最低標,27439,27439,財物類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/28
臺北大眾捷運股份有限公司,C08A01056,崗石地磚採購,最低標,548000,預算金額不公開,財物類,公開取得報價單或企劃書,未達公告金額,2019/2/15
臺北市立景美女子高級中學,10810,科學館電源改善工程委託設計及監造服務,最有利標,180000,180000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/2/1
臺北市政府,1080125S0048,「臺北市社子島地區文化資產普查計畫」,最有利標,5000000,5000000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/3/11
臺北市立南港高級工業職業學校,108C11,臺北市108年度樂儀旗舞觀摩表演活動,最有利標,841020,841020,勞務類,公開取得報價單或企劃書,未達公告金額,2019/2/18
臺北市文山區景美國民小學,C10811,游泳池鍋爐加熱器財物採購,最低標,689500,689500,財物類,公開取得報價單或企劃書,未達公告金額,2019/2/12
臺北市立圖書館,LCH108S08,108年度西區及南區閱覽單位空調設備保養維護,最有利標,836700,836700,勞務類,公開取得報價單或企劃書,未達公告金額,2019/2/21
